"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"CLANKERUSDT","12.8","04-12 22:00","256","2.25","1.01","15","7.2","-8.4",,"-0.0033","2.45","1.19","75","11.5","-3.6",,"0.0019"
"BEATUSDT","32.6","04-12 05:00","256","0.54","0.98","41","-41.7","-63.3",,"0.0689","0.58","0.94","63","-41.4","-61.9",,"0.0326"
"PIEVERSEUSDT","143.7","04-19 05:00","254","8.47","10.84","57","11.5","-15.3",,"0.0401","3.93","0.78","100","-4.3","-11.9",,"0.0297"
"SENTUSDT","20.4","04-22 21:00","254","1.35","3.6","32","8.4","-16.4",,"-0.0013","2.55","3.38","66","7.1","-16.6",,"0.0006"
"IRYSUSDT","37.6","04-12 06:00","241","2.1","2.47","25","16.9","-18.5",,"0.005","1.23","4.42","61","30.6","-11.1",,"0.005"
"POWERUSDT","22.5","04-16 07:00","232","1.16","0.84","40","22.1","-16.4",,"0.0406","0.95","0.98","37","21","-17.8",,"0.0359"
"WETUSDT","79.7","04-12 10:00","228","1.52","1.2","32","-11.9","-25.7",,"-0.0107","1.98","1.09","8","-12","-24.3",,"-0.0117"
"NIGHTUSDT","6","04-01 09:00","228","1.8","2.02","36","34.7","-14",,"-0.0389","0.96","1.44","89","43.4","-7.7",,"-0.0275"
"USUSDT","32.7","04-01 09:00","226","1.88","12.53","78","-12.3","-4.9",,"0.0141","3.19","7.11","88","1.4","-3",,"0.0134"
"CYSUSDT","36.9","04-09 23:00","226","0.9","0.7","1","-49.3","-77.6",,"0.0056","0.82","0.89","37","-44.4","-70.4",,"0.0098"
"RAVEUSDT","318.1","04-09 12:00","223","1.69","5.78","95","27.7","-1.5",,"0.0154","1.33","1.21","87","11.8","-6.6",,"0.0101"
"ZKPUSDT","31.1","04-27 19:00","217","2.02","1.24","47","15.8","-7",,"0.0043","0.65","1.86","82","18.2","-5.7",,"0.0032"
"GUAUSDT","46.4","04-18 19:00","217","0.89","0.45","74","15","-18.4",,"0.0724","0.96","0.59","50","9.1","-22.7",,"0.032"
"LITUSDT","19.3","04-02 11:00","214","1.95","1.38","55","-7.7","-15.9",,"0.0049","1.52","1.05","78","-6.1","-13.9",,"0.0046"
"BREVUSDT","16.6","04-05 13:00","208","0.7","0.59","9","-11.8","-18",,"0.0024","0.69","0.71","52","-5.8","-16",,"0.005"
"COLLECTUSDT","18.5","04-05 17:00","206","0.76","0.85","28","-50","-60.5",,"0.0105","0.49","0.56","24","26.7","-59.8",,"0.0075"
