"symbol","d1","d7","d30","runup","bars","price"
"VVVUSDT","-0.9","5.5","-3","51.6","31","12.901"
"BERAUSDT","-1.2","-13.7","-23.7","16.9","31","0.1624"
"TSTUSDT","0.2","-5.7","2.4","37","31","0.010938"
"LAYERUSDT","-1","-6.4","-7.9","14.7","31","0.06115"
"HEIUSDT","-1.5","-13.5","-45.7","57.8","31","0.082"
"GPSUSDT","-0.2","4.6","6.1","28.4","31","0.009574"
"SHELLUSDT","-0.4","-10.2","-12.6","22.8","31","0.01884"
"KAITOUSDT","2.1","24.7","109","146","31","1.2275"
"REDUSDT","-0.9","-8.9","-0.6","37.5","31","0.0921"
"VICUSDT","-0.3","-10.4","-10.4","30.2","31","0.03444"
"EPICUSDT","-1.9","17.1","53.9","185.4","31","0.7048"
"BMTUSDT","-0.6","-5.5","-3.9","24.3","31","0.0114"
"MUBARAKUSDT","0.2","-1.1","8.1","44.8","31","0.01079"
"FORMUSDT","-0.2","-0.6","-10","17","31","0.1937"
"TUTUSDT","0","5.5","39.8","73","31","0.01448"
"BROCCOLI714USDT","-0.2","-1.5","4.9","23.5","31","0.01233"
"BROCCOLIF3BUSDT","-1.1","-31.2","7.8","135.9","31","0.005446"
"SIRENUSDT","4.1","-11","-26.5","36.4","31","0.02815"
"BANANAS31USDT","-0.4","-3.9","-18.1","23.1","31","0.006856"
"BRUSDT","-0.9","-0.7","2.3","27.7","31","0.14665"
"PLUMEUSDT","-2.1","4.7","20.1","34.6","31","0.012"
"NILUSDT","-0.5","-4.3","2.1","49.6","31","0.03511"
"PARTIUSDT","-1.8","-13.9","-44.1","38.7","31","0.02538"
"JELLYJELLYUSDT","-0.1","-1.6","-6.1","35.8","31","0.05491"
"MAVIAUSDT","-0.3","-8.3","-19.4","20.5","31","0.02499"
"PAXGUSDT","-0.3","-2.8","-0.1","6.4","31","4008.75"
"WALUSDT","-0.4","-11.9","-16.7","17.2","31","0.02647"
"GUNUSDT","-0.7","-19.2","-26.6","32","31","0.003118"
"ATHUSDT","-1.3","-14.5","-6.4","23","31","0.004017"
"BABYUSDT","-0.3","-10","-13.6","17.1","31","0.01147"
"PROMPTUSDT","-1.1","-2.8","-8.6","27.9","31","0.02008"
"STOUSDT","-0.4","-11.4","-17.1","13.6","31","0.03769"
