"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"BASEDUSDT","32","05-29 04:00","118","0.57","0.7","20","-27.9","-48.5",,"0.005","0.84","0.77","10","-35.1","-48.8",,"0.005"
"PRLUSDT","28.8","05-30 01:00","116","2.85","17.02","48","-18.4","-47.5",,"-0.0921","4.84","18.7","84","-22.4","-41.9",,"-0.2243"
"GENIUSUSDT","53.4","05-21 16:00","101","0.67","0.76","66","-24.6","-30.8",,"0.0098","1.48","0.83","57","-22.7","-31.4",,"0.0104"
"CHIPUSDT","19.2","06-01 13:00","101","1.15","0.71","10","-25.3","-51.2",,"-0.0065","0.85","0.62","21","-27.9","-49.6",,"-0.0083"
"OPGUSDT","28.2","05-21 01:00","94","0.37","0.52","18","-11.5","-32.3",,"0.005","0.57","0.38","35","-7.8","-28.6",,"0.005"
"AIGENSYNUSDT","74","05-13 15:00","87","1.06","2.94","7","22.6","-35.3",,"0.0157","0.75","0.7","3","38.7","-31.8",,"0.0368"
"BILLUSDT","30.6","05-22 14:00","80","1.09","0.5","18","-11.4","-68.8",,"0.0022","1.64","0.41","9","-1.8","-67.6",,"0.0045"
"PHAROSUSDT","15.1","06-12 01:00","73","0.95","0.14","14","-12.2","-35.1",,"-0.0434","0.79","0.1","34","-5.9","-29.9",,"-0.0947"
"STARUSDT","27.1","05-29 08:00","73","0.8","1.07","46","-30","-56.8",,"0.0181","0.74","0.65","41","-41.3","-57.5",,"0.0188"
"CTRUSDT","13.7","06-08 01:00","59","0.98","0.48","49","13.7","-34.4",,"-0.0109","0.85","0.46","47","-4","-35.4",,"-0.0041"
"SLXUSDT","6.3","06-12 21:00","55","0.22","0.24","43","1.7","-59.8",,"0.0043","0.46","0.38","22","-4.9","-59.2",,"0.0043"
